Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773198596	118	98851	105308	0	433672	15685	0	135	0	257412	1061	1352797	1675	0	0	2	2
1773198598	120	98851	105308	0	433672	15685	0	135	0	257820	1063	1352893	1676	0	0	2	2
1773198600	122	98851	105308	0	433672	15685	0	135	0	257820	1063	1352893	1676	0	0	2	2
1773198602	124	98851	105308	0	433672	15685	0	135	0	257938	1064	1353273	1678	0	0	2	2
1773198604	126	98851	105308	0	433672	15685	0	135	0	259625	1075	1357063	1690	0	0	2	2
1773198606	128	98851	105308	0	433672	15685	0	135	0	259743	1076	1357253	1691	0	0	2	2
1773198608	130	98851	105308	0	433672	15685	0	135	0	259743	1076	1357443	1692	0	0	2	2
1773198610	132	98851	105308	0	433672	15685	0	135	0	259743	1076	1357443	1692	0	0	2	2
1773198612	134	98851	105308	0	433672	15685	0	135	0	260556	1083	1358034	1696	0	0	2	2
1773198614	136	98851	105308	0	433672	15685	0	135	0	266746	1107	1362117	1713	0	0	2	2
1773198616	138	98851	105308	0	433672	15685	0	135	0	277259	1139	1374355	1742	0	0	2	2
1773198618	140	98851	105308	0	433672	15685	0	135	0	338428	1265	1395446	1825	0	0	2	2
1773198620	142	98851	105308	0	433672	15685	0	135	0	380360	1348	1409709	1875	0	0	2	2
1773198622	144	98851	105308	0	433672	15685	0	135	0	386043	1385	1412313	1896	0	0	2	2
1773198624	146	98851	105308	0	433672	15685	0	135	0	441522	1501	1438552	1974	0	0	2	2
1773198626	148	98850	105308	0	433672	15685	0	135	0	1205161	2334	1625033	2454	0	0	2	2
1773198628	150	98850	105308	0	433672	15685	0	135	0	2596757	3398	1694982	2861	0	0	2	2
1773198630	152	98850	105308	0	433672	15685	0	135	0	13281469	12080	1834518	3816	0	0	2	2
1773198632	154	98849	105308	0	433672	15685	0	135	0	29665868	25417	2051344	5259	0	0	2	2
1773198634	156	98849	105308	0	433672	15685	0	135	0	31385493	26817	2103762	5626	0	0	2	2
1773198636	158	98849	105308	0	433672	15685	0	135	0	31442817	26869	2107456	5653	0	0	2	2
1773198638	160	98849	105308	0	433672	15685	0	135	0	36350653	30838	2164238	6153	0	0	2	2
1773198640	162	98849	105308	0	433672	15685	0	135	0	36407401	30890	2166242	6164	0	0	2	2
1773198642	164	98850	105308	0	433672	15685	0	135	0	36878346	31354	2179944	6315	0	0	2	2
1773198644	166	98849	105308	0	433672	15685	0	135	0	46325502	38996	2246619	6757	0	0	2	2
1773198646	168	98849	105308	0	433672	15685	0	135	0	54219678	45386	2308036	7265	0	0	2	2
1773198648	170	98849	105308	0	433672	15685	0	135	0	59048621	49303	2354472	7667	0	0	2	2
1773198650	172	98850	105308	0	433672	15685	0	135	0	59464473	49738	2368437	7820	0	0	2	2
1773198652	174	98850	105308	0	433672	15685	0	135	0	59543230	49823	2382252	7858	0	0	2	2
1773198654	176	98850	105308	0	433672	15685	0	135	0	76277318	63337	2479760	8707	0	0	2	2
1773198656	178	98850	105308	0	433672	15685	0	135	0	77054908	63969	2489433	8791	0	0	2	2
1773198658	180	98850	105308	0	433672	15685	0	135	0	77055170	63972	2490409	8795	0	0	2	2
1773198660	182	98850	105308	0	433672	15685	0	135	0	77112044	64021	2491309	8801	0	0	2	2
1773198662	184	98850	105308	0	433672	15685	0	135	0	77169013	64071	2493015	8811	0	0	2	2
1773198664	186	98850	105308	0	433672	15685	0	135	0	77170639	64082	2493077	8812	0	0	2	2
1773198666	188	98850	105308	0	433672	15685	0	135	0	78703719	65336	2501195	8883	0	0	2	2
1773198668	190	98850	105308	0	433672	15685	0	135	0	78766700	65399	2501778	8886	0	0	2	2
1773198670	192	98850	105308	0	433672	15685	0	135	0	78767052	65402	2502158	8888	0	0	2	2
1773198672	194	98850	105308	0	433672	15685	0	135	0	78824144	65452	2502954	8893	0	0	2	2
1773198674	196	98850	105308	0	433672	15685	0	135	0	78881252	65505	2504138	8902	0	0	2	2
1773198676	198	98850	105308	0	433672	15685	0	135	0	83417041	69174	2529356	9134	0	0	2	2
1773198678	200	98850	105308	0	433672	15685	0	135	0	83473331	69222	2529944	9137	0	0	2	2
